package_id,package_name,model_id,model_label,af_score,security_score,reliability_score,input_tokens,output_tokens,cost_usd,duration_s,error
mcp-server-sqlite,@modelcontextprotocol/server-sqlite,claude-haiku-4-5-20251001,Haiku 4.5,66.0,45.8,48.8,10061,1303,0.016576,11.8,
mcp-server-sqlite,@modelcontextprotocol/server-sqlite,claude-sonnet-4-6,Sonnet 4.6,47.5,36.8,27.5,10062,1358,0.050556,26.8,
mcp-server-sqlite,@modelcontextprotocol/server-sqlite,gemini-3-flash-preview,Gemini 3 Flash,65.0,65.5,32.5,9551,1049,0.007923,14.9,
mcp-server-sqlite,@modelcontextprotocol/server-sqlite,gpt-4o-mini,GPT-4o mini,55.0,60.0,12.5,8176,701,0.001647,12.8,
mcp-server-everything,@modelcontextprotocol/server-everything,claude-haiku-4-5-20251001,Haiku 4.5,62.5,45.0,40.0,10061,1122,0.015671,10.0,
mcp-server-everything,@modelcontextprotocol/server-everything,claude-sonnet-4-6,Sonnet 4.6,59.5,37.5,30.0,10062,1339,0.050271,25.9,
mcp-server-everything,@modelcontextprotocol/server-everything,gemini-3-flash-preview,Gemini 3 Flash,79.2,33.5,45.0,9551,1115,0.00812,14.3,
mcp-server-everything,@modelcontextprotocol/server-everything,gpt-4o-mini,GPT-4o mini,62.5,60.0,25.0,8176,700,0.001646,15.1,
mcp-server-filesystem,@modelcontextprotocol/server-filesystem,claude-haiku-4-5-20251001,Haiku 4.5,68.8,79.2,46.2,10061,1184,0.015981,10.9,
mcp-server-filesystem,@modelcontextprotocol/server-filesystem,claude-sonnet-4-6,Sonnet 4.6,61.2,53.5,33.8,10062,1424,0.051546,28.6,
mcp-server-filesystem,@modelcontextprotocol/server-filesystem,gemini-3-flash-preview,Gemini 3 Flash,77.0,62.8,58.8,9551,1082,0.008022,17.3,
mcp-server-filesystem,@modelcontextprotocol/server-filesystem,gpt-4o-mini,GPT-4o mini,67.5,60.0,25.0,8175,756,0.00168,16.3,
alpha-vantage-mcp,Alpha Vantage MCP Server,claude-haiku-4-5-20251001,Haiku 4.5,,,,0,0,0.0,14.5,"1 validation error for PackageEvaluation
security_score_components.dependency_hygiene
  Input should be a valid number [type=float_type, input_value=None, input_type=NoneType]
    For further information visit https://errors.pydantic.dev/2.12/v/float_type"
alpha-vantage-mcp,Alpha Vantage MCP Server,claude-sonnet-4-6,Sonnet 4.6,66.0,53.8,42.5,9662,1638,0.053556,32.1,
alpha-vantage-mcp,Alpha Vantage MCP Server,gemini-3-flash-preview,Gemini 3 Flash,85.2,76.2,71.2,9068,1119,0.007891,14.8,
alpha-vantage-mcp,Alpha Vantage MCP Server,gpt-4o-mini,GPT-4o mini,83.0,80.0,87.5,8001,777,0.001666,16.4,
